ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0055;Assemblee;M. Stéphane Séjourné;REN;2024-05-14;P4_rafah;je me suis deja longuement exprime devant vous a propos de rafah et sur ce sujet en particulier ce qui est a l origine de cette tragedie c est l attaque du 7 octobre que vous n avez toujours pas mentionnee pas un mot pour nos otages pas un mot pour les quarante trois francais tragiquement decedes lors de ces attaques applaudissements sur les bancs du groupe re les palestiniens n ont pas a payer le prix des violences et de la folie meurtriere du hamas je le repete devant vous israel doit cesser l operation en cours a rafah sur le fond je veux egalement rappeler la position francaise que j ai defendue le 30 avril dernier lors de mon deplacement en israel et que je defendrai de nouveau;palestiniens, israel, palestinien, hamas, 7 octobre, attaque du 7 octobre, otage, otages, rafah;;;;;
0056;Twitter;clemence_guette;LFI-NFP;2025-07-02;P7_cessez_feu;"C'est aujourd'hui.

Nous pouvons enfin voter la fin de cet accord entre l’Union européenne et Israël, alors que le génocide se poursuit à Gaza.

Rendez-vous à 15H en direct sur ma chaine Youtube.";israel, gaza, genocide;;;;;
0057;Assemblee;Mme Sandrine Rousseau;ECO;2023-10-31;P1_choc;ma question s adresse a mme catherine colonna ministre de l europe et des affaires etrangeres la france en tant qu etat tiers au conflit israelo palestinien doit avoir une position claire et renouer avec son role historique consistant a defendre le droit international tout le droit international rien que le droit international;israel, palestinien, droit international;;;;;
0058;Twitter;emmanfernandes;LFI-NFP;2025-04-11;P7_cessez_feu;🔴Retrouvez mon communiqué de presse suite aux violences cette semaine contre les étudiant·es mobilisé·es à Sciences Po Strasbourg contre le génocide à Gaza, perpétré par Israël et son gouvernement d'extrême droite;israel, gaza, genocide;;;;;
0059;Twitter;ugobernalicis;LFI-NFP;2024-04-18;P3_post_cij;"Une justice partiale s'est aujourd'hui prononcée pour condamner Jean-Paul Delescaut, secrétaire fédéral de la CGT59, à 1 ans de prison avec sursis pour apologie du terrorisme, pour un tract !!!

C'est d'une gravité absolue. Toute explication sur les causes du conflit israelo-palestien pourrait donc tomber sous le coup de la loi (loi ambiguë, votée sous le gouvernement ""socialiste"" de @fhollande et @BCazeneuve).

Tous les démocrates et les républicains de ce pays doivent se réveiller et s'insurge...";israel;;;;;
0060;Twitter;sabrinasebaihi;ECO-NFP;2024-05-27;P4_rafah;"🇵🇸Rassemblés ce soir à Paris en soutien au peuple palestinien, frappé une nouvelle fois par la violence du régime israélien. 

🔴 Cessez-le-feu immédiat et permanent à #Gaza !";israelien, israel, gaza, palestinien, cessez-le-feu;;;;;
0061;Twitter;gabriellecthl;LFI-NFP;2025-11-19;P7_cessez_feu;"Au moins 98 Palestiniens de tous âges sont morts en détention en Israël depuis le 7 octobre 2023, selon les investigations de l’ONG Physicians for Human Rights - Israel. 

«  Le meurtre de Palestiniens en détention est devenu une pratique normalisée »";palestiniens, israel, palestinien, 7 octobre;;;;;
0062;Twitter;pycadalen;LFI-NFP;2025-06-11;P7_cessez_feu;"Cette abomination n'a que trop duré.

Stop au génocide à #Gaza.

Des sanctions doivent être prises par les pays européens pour que tout cela cesse.

Ça suffit !";gaza, genocide;;;;;
0063;Twitter;s_bourouaha;GDR;2024-11-21;P6_mandats_cpi;La Cour pénale internationale (CPI) a émis des mandats d'arrêt contre le Premier ministre israélien Benjamin Netanyahu, l'ancien ministre de la défense Yoav Gallant ainsi que contre Deif, chef de la branche armée du Hamas.;israelien, israel, netanyahu, hamas, cpi, cour penale internationale;;;;;
0064;Twitter;brunomillienne;MODEM;2024-02-07;P3_post_cij;J'espère que tous ces députés @FranceInsoumise qui se rendront à l'hommage des victimes françaises des actes terroristes perpétrés par le Hamas le 7 octobre dernier, porteront leur indécence et leur honte en bandoulière toute leur vie durant, eux qui n'ont jamais su qualifier ce pogrom de terrorisme.;hamas, 7 octobre;;;;;
