author,bloc,group,stance_mean,stance_std,stance_min,stance_max,n_textes,n_months,first_month,last_month,stance_range,is_mover
M. Aurélien Taché,Gauche moderee,ECO,2.0,0.0,2,2,3,3,2023-11-21 00:00:00,2024-06-03 00:00:00,0,False
M. Aurélien Taché (Écolo-NUPES),Gauche moderee,ECO,1.5,0.7071067811865476,1,2,2,1,2024-01-16 00:00:00,2024-01-16 00:00:00,1,False
M. Aymeric Caron,Gauche radicale,LFI,0.6666666666666666,1.5811388300841898,-2,2,9,2,2023-10-24 00:00:00,2024-06-04 00:00:00,4,True
M. Aymeric Caron,Gauche radicale,LFI-NFP,0.8571428571428571,1.9518001458970662,-2,2,7,2,2025-04-08 00:00:00,2025-05-07 00:00:00,4,True
M. Bastien Lachaud,Gauche radicale,LFI,2.0,,2,2,1,1,2024-05-28 00:00:00,2024-05-28 00:00:00,0,False
M. Bastien Lachaud,Gauche radicale,LFI-NFP,0.6666666666666666,0.5773502691896258,0,1,3,3,2025-03-12 00:00:00,2025-06-23 00:00:00,1,False
M. Belkhir Belhaddad (RE),Centre / Majorite,REN,1.0,,1,1,1,1,2024-01-16 00:00:00,2024-01-16 00:00:00,0,False
M. Benjamin Haddad,Centre / Majorite,REN,0.125,0.8345229603962802,-1,1,8,3,2025-03-26 00:00:00,2025-05-14 00:00:00,2,True
M. Benjamin Lucas,Centre / Majorite,HOR,0.0,1.4142135623730951,-1,1,2,1,2023-12-07 00:00:00,2023-12-07 00:00:00,2,True
M. Benjamin Lucas-Lundy,Gauche moderee,ECO-NFP,1.4285714285714286,1.1338934190276817,-1,2,7,2,2025-06-10 00:00:00,2025-07-01 00:00:00,3,True
M. Bernard Chaix,Droite,UDR,-1.25,0.9574271077563381,-2,0,4,1,2025-06-24 00:00:00,2025-06-24 00:00:00,2,True
M. Boris Vallaud,Gauche moderee,SOC,0.8,0.6324555320336759,-1,1,10,1,2023-10-09 00:00:00,2023-10-23 00:00:00,2,True
M. Boris Vallaud (SOC),Gauche moderee,SOC,-2.0,,-2,-2,1,1,2023-10-23 00:00:00,2023-10-23 00:00:00,0,False
M. Bruno Fuchs,Centre / Majorite,DEM,-1.0,,-1,-1,1,1,2025-06-25 00:00:00,2025-06-25 00:00:00,0,False
M. Bruno Fuchs (Dem),Centre / Majorite,DEM,0.0,,0,0,1,1,2025-01-14 00:00:00,2025-01-14 00:00:00,0,False
M. Bruno Retailleau,Droite,RN,-1.6666666666666667,0.5,-2,-1,9,6,2024-10-08 00:00:00,2025-07-01 00:00:00,1,False
M. Carlos Martens Bilongo,Gauche radicale,LFI,1.0,0.0,1,1,3,1,2023-11-21 00:00:00,2023-11-21 00:00:00,0,False
M. Charles Rodwell,Centre / Majorite,EPR,-2.0,,-2,-2,1,1,2025-07-02 00:00:00,2025-07-02 00:00:00,0,False
M. Charles Sitzenstuhl,Centre / Majorite,EPR,0.6666666666666666,0.5773502691896258,0,1,3,1,2025-06-25 00:00:00,2025-06-25 00:00:00,1,False
M. Charles Sitzenstuhl (EPR),Centre / Majorite,EPR,1.0,,1,1,1,1,2025-06-25 00:00:00,2025-06-25 00:00:00,0,False
M. David Guiraud,Gauche radicale,LFI,2.0,0.0,2,2,3,2,2023-10-17 00:00:00,2024-05-07 00:00:00,0,False
M. David Guiraud,Gauche radicale,LFI-NFP,0.9,1.3703203194062976,-1,2,10,2,2024-11-12 00:00:00,2025-05-06 00:00:00,3,True
M. Davy Rimane,Gauche radicale,GDR,0.5,1.2909944487358056,-1,2,4,2,2024-03-06 00:00:00,2024-05-13 00:00:00,3,True
M. Didier Martin,Centre / Majorite,REN,-1.0,,-1,-1,1,1,2023-10-23 00:00:00,2023-10-23 00:00:00,0,False
M. Dominique Potier,Gauche moderee,SOC,0.0,,0,0,1,1,2023-10-17 00:00:00,2023-10-17 00:00:00,0,False
M. Emeric Salmon,Droite,RN,-2.0,0.0,-2,-2,4,3,2025-04-01 00:00:00,2025-07-02 00:00:00,0,False
M. Emmanuel Duplessy,Gauche moderee,ECO-NFP,-2.0,,-2,-2,1,1,2025-01-28 00:00:00,2025-01-28 00:00:00,0,False
M. Emmanuel Fernandes,Gauche radicale,LFI,2.0,,2,2,1,1,2024-05-07 00:00:00,2024-05-07 00:00:00,0,False
M. Emmanuel Fernandes,Gauche radicale,LFI-NFP,2.0,,2,2,1,1,2024-11-19 00:00:00,2024-11-19 00:00:00,0,False
M. Emmanuel Taché de la Pagerie,Droite,RN,-2.0,,-2,-2,1,1,2024-05-21 00:00:00,2024-05-21 00:00:00,0,False
M. Erwan Balanant,Centre / Majorite,DEM,1.0,,1,1,1,1,2025-11-18 00:00:00,2025-11-18 00:00:00,0,False
M. Erwan Balanant,Centre / Majorite,MODEM,-1.0,,-1,-1,1,1,2023-10-09 00:00:00,2023-10-09 00:00:00,0,False
M. Fabien Di Filippo,Droite,LR,-1.0,0.0,-1,-1,2,2,2023-11-21 00:00:00,2024-05-07 00:00:00,0,False
M. Fabien Roussel,Gauche radicale,GDR,1.0,0.6324555320336759,0,2,6,2,2023-10-23 00:00:00,2024-03-12 00:00:00,2,True
