author,bloc,PC1,PC2
Mme Catherine Hervieu (EcoS),Gauche moderee,0.13624971925342938,-0.05135869435425825
Mme Christine Arrighi,Gauche moderee,-0.5105453557391108,0.038435327790273394
Mme Claire Lejeune,Gauche radicale,0.11473443460050037,0.04654746425834402
Mme Clémence Guetté,Gauche radicale,0.04262235066384533,0.12940024363050726
Mme Clémence Guetté (LFI-NFP),Gauche radicale,0.10949540242075419,0.14799653524357195
Mme Clémentine Autain,Gauche radicale,0.07689970300603358,0.019453165541555465
Mme Constance Le Grip,Centre / Majorite,0.11870777878686621,0.009195524234310448
Mme Constance Le Grip (EPR),Centre / Majorite,0.11828866461015836,0.019641912491166088
Mme Constance Le Grip (RE),Centre / Majorite,-0.35052533521542323,-0.10935967705613592
Mme Cyrielle Chatelain,Gauche moderee,0.32972232916477445,0.033793697499007264
Mme Cyrielle Chatelain (Écolo-NUPES),Gauche moderee,0.1528943149973309,-0.027914640612612618
Mme Céline Hervieu,Gauche moderee,0.019685294016170297,0.15263905582536524
Mme Danielle Simonnet,Gauche radicale,-0.0828687193870029,-0.00308057073863169
Mme Danièle Obono,Gauche radicale,0.16713063544735868,0.08505094932321536
Mme Delphine Batho,Gauche moderee,-0.2656894344005708,-0.03823873262738456
Mme Dieynaba Diop,Gauche moderee,0.11508214467464593,-0.0880320445004997
Mme Dieynaba Diop (SOC),Gauche moderee,0.12252256294139668,0.011697656803249492
Mme Dominique Faure,Centre / Majorite,-0.150229392601985,0.0751423932020541
Mme Elsa Faucillon,Gauche radicale,0.21162764095618797,0.06741441448350528
Mme Elsa Faucillon (GDR),Gauche radicale,0.1564029994483432,0.11163582557991898
Mme Eléonore Caroit,Centre / Majorite,0.1010365093345323,-0.07275717239604355
Mme Eléonore Caroit (EPR),Centre / Majorite,0.051685314748346776,-0.09222301372219155
Mme Emmanuelle Ménard,Droite,0.07435242228304582,0.0007687844880597974
Mme Emmanuelle Ménard (NI),Droite,-0.02400435736856982,-0.02461849284613751
Mme Ersilia Soudais (LFI-NFP),Gauche radicale,0.015070220861651109,0.11676379177611725
Mme Eva Sas,Gauche moderee,0.02187101031497955,0.04293995032537091
Mme Farida Amrani,Gauche radicale,0.017783217163408745,0.17804012444015643
Mme Fatiha Keloua Hachi,Gauche moderee,0.09921445835628445,0.021582001084163766
Mme Florence Goulet,Droite,-0.12692035498177634,-0.024434709421092944
Mme Francesca Pasquini,Gauche moderee,0.00909075130714728,0.03748213338705831
Mme Gabrielle Cathala,Gauche radicale,0.25488888623425976,0.11169702914110419
Mme Géraldine Bannier,Centre / Majorite,-0.2997020623871694,0.11164377891106218
Mme Julie Laernoes,Gauche moderee,0.16876235313360016,0.10823292873573709
Mme Laurence Boone,Centre / Majorite,0.23461101271463425,-0.053676769835590964
Mme Louise Morel,Centre / Majorite,0.004105186167426905,-0.12141899497119887
Mme Léa Balage El Mariky,Gauche moderee,-0.20927825175898232,0.37724938150751836
Mme Marianne Maximi,Gauche radicale,0.07052190354932325,0.031124771287391526
Mme Marie Mesmeur,Gauche radicale,0.06491718292359931,0.26915003476438254
Mme Marie-Agnès Poussier-Winsback,Centre / Majorite,0.14244018242851714,0.015136743031569193
Mme Marie-Agnès Poussier-Winsback (HOR),Centre / Majorite,0.040871785659878423,-0.031669053803548466
Mme Marine Le Pen,Droite,0.2684889816287298,0.01000657609292175
Mme Marine Le Pen (RN),Droite,0.12781599164904026,-0.03660869484756174
Mme Mathilde Hignet,Gauche radicale,-0.45405716619427183,0.04861150329316504
Mme Mathilde Panot,Gauche radicale,0.2929375780566531,0.15985456387759253
Mme Mathilde Panot (LFI-NFP),Gauche radicale,0.16864544872359602,0.14691854768636997
Mme Mathilde Panot (LFI-NUPES),Gauche radicale,-0.2341797312157856,-0.025916231798606196
Mme Mereana Reid Arbelot,Gauche radicale,-0.2877750977467071,0.11982888780104123
Mme Michèle Tabarot,Droite,0.2009539562098068,-0.014489066731781068
Mme Michèle Tabarot (DR),Droite,-0.08282337559782732,-0.07796399689553574
Mme Michèle Tabarot (LR),Droite,-0.01991961164504905,-0.024736294549037453
